회원번호	성명	주문일자	주문번호	배송지역	지역번호	국번	번호	전화번호	배송선택	 배송비 	 주문금액 	총금액
981011	강철수	20150205J1232		서울특별시	02	333	1234		선불/2500		 150,000 	 150,000 
981012	이미옥	20150205K1152		인천 광역시	032	555	7890		착불/3500		 123,000 	 123,000 
991013	전선우	20150205S1156		전라남도	061	400	8888		선불/5000		 254,000 	 254,000 
991014	민태우	20150206A1112		대전 광역시	042	433	5656		선불/5500		 256,000 	 256,000 
991015	박노준	20150206A1256		경기도	031	452	4321		착불/2500		 56,000 	 56,000 
991016	김순희	20150206J1002		강원도	033	200	5432		착불/6000		 46,800 	 46,800 
941017	문상국	20150207K5212		경상북도	054	900	8765		선불/6500		 10,560 	 10,560 
981018	김국진	20150207M1892		충청남도	041	422	3455		착불/4600		 189,000 	 189,000 
981019	최상모	20150208J3562		제주도	064	765	7654		선불/10000		 287,000 	 287,000 
921212	이진우	20150208S2032		경상북도	055	322	1334		선불/7000		 235,600 	 235,600 
971021	홍성용	20150208K8945		서울특별시	02	678	0099		착불/2500		 54,600 	 54,600 
981011	강철수	20150209A4897		서울특별시	02	333	1234		선불/2500		 385,200 	 385,200 
993412	이철우	20150209C4897		전라북도	063	777	0987		선불/5500		 78,950 	 78,950 
991016	김순희	20150209J4897		강원도	033	200	5432		착불/6500		 147,000 	 147,000 
976611	박시준	20150210A1888		경기도	031	452	4321		착불/4000		 123,600 	 123,600 
951020	이진상	20150210M5667		경상북도	055	322	1334		선불/6500		 25,800 	 25,800 
960101	김민우	20150211A1892		서울특별시	02	355	4848		착불/3000		 38,400 	 38,400 
991013	전선우	20150211P1009		전라남도	061	400	8888		선불/7000		 157,900 	 157,900 
981011	강철수	20150211A1011		서울특별시	02	333	1234		선불/2500		 256,000 	 256,000 
952288	강수진	20150212J1352		경상북도	055	322	1334		선불/6500		 325,000 	 325,000 
981022	진성미	20150212S1987		전라북도	063	777	0987		선불/5500		 258,000 	 258,000 
924566	최시형	20150213B1852		제주도	064	765	7654		선불/10000		 365,000 	 365,000 
921200	정홍식	20150213A1052		서울특별시	02	678	0099		착불/2500		 87,500 	 87,500 
951020	이진상	20150214C9006		경상북도	055	322	1334		선불/6500		 14,500 	 14,500 
997788	홍나래	20150214B1322		경기도	031	452	4321		착불/4000		 45,300 	 45,300 
